overfit_rank,rank,model,resolved_model,extra_input,cnn_epochs,cnn_patience,window_sec,hop_sec,overlap_pct,max_windows_fraction,overfit_stage,overfit_config_id,overfit_config_name,stage1_screen_group,stage1_regularization_factor,stage1_regularization_value,cnn_lr,cnn_weight_decay,cnn_dropout,cnn_label_smoothing,sqi_mode,aggregation,manual_features,loss_type,class_weight_mode,window_sampler,windows_per_subject_per_epoch,train_overlap_pct,dynamic_data_mode,stage2_fixed_epoch,reference_source,reference_source_config_id,n_repeats,validation_subject_balanced_accuracy_mean,validation_subject_balanced_accuracy_std,validation_subject_balanced_accuracy_ci95_low,validation_subject_balanced_accuracy_ci95_high,validation_subject_balanced_accuracy_min,validation_subject_balanced_accuracy_max,validation_subject_macro_f1_mean,validation_subject_macro_f1_std,validation_subject_macro_f1_ci95_low,validation_subject_macro_f1_ci95_high,validation_subject_macro_f1_min,validation_subject_macro_f1_max,subject_balanced_accuracy_mean,subject_balanced_accuracy_std,subject_balanced_accuracy_ci95_low,subject_balanced_accuracy_ci95_high,subject_balanced_accuracy_min,subject_balanced_accuracy_max,subject_macro_f1_mean,subject_macro_f1_std,subject_macro_f1_ci95_low,subject_macro_f1_ci95_high,subject_macro_f1_min,subject_macro_f1_max,worst_class_recall_mean,worst_class_recall_std,worst_class_recall_ci95_low,worst_class_recall_ci95_high,worst_class_recall_min,worst_class_recall_max,worst_class_f1_mean,worst_class_f1_std,worst_class_f1_ci95_low,worst_class_f1_ci95_high,worst_class_f1_min,worst_class_f1_max,best_epoch_mean,best_epoch_std,best_epoch_ci95_low,best_epoch_ci95_high,best_epoch_min,best_epoch_max,duration_sec_mean,duration_sec_std,duration_sec_ci95_low,duration_sec_ci95_high,duration_sec_min,duration_sec_max,best_epoch_train_balanced_accuracy_mean,best_epoch_train_balanced_accuracy_std,best_epoch_train_balanced_accuracy_ci95_low,best_epoch_train_balanced_accuracy_ci95_high,best_epoch_train_balanced_accuracy_min,best_epoch_train_balanced_accuracy_max,best_epoch_val_balanced_accuracy_mean,best_epoch_val_balanced_accuracy_std,best_epoch_val_balanced_accuracy_ci95_low,best_epoch_val_balanced_accuracy_ci95_high,best_epoch_val_balanced_accuracy_min,best_epoch_val_balanced_accuracy_max,train_val_balanced_accuracy_gap_mean,train_val_balanced_accuracy_gap_std,train_val_balanced_accuracy_gap_ci95_low,train_val_balanced_accuracy_gap_ci95_high,train_val_balanced_accuracy_gap_min,train_val_balanced_accuracy_gap_max,best_epoch_train_loss_mean,best_epoch_train_loss_std,best_epoch_train_loss_ci95_low,best_epoch_train_loss_ci95_high,best_epoch_train_loss_min,best_epoch_train_loss_max,best_epoch_val_loss_mean,best_epoch_val_loss_std,best_epoch_val_loss_ci95_low,best_epoch_val_loss_ci95_high,best_epoch_val_loss_min,best_epoch_val_loss_max,val_train_loss_gap_mean,val_train_loss_gap_std,val_train_loss_gap_ci95_low,val_train_loss_gap_ci95_high,val_train_loss_gap_min,val_train_loss_gap_max,mean_window_sqi_mean,mean_window_sqi_std,mean_window_sqi_ci95_low,mean_window_sqi_ci95_high,mean_window_sqi_min,mean_window_sqi_max,n_file_aggregation_windows_mean,n_file_aggregation_windows_std,n_file_aggregation_windows_ci95_low,n_file_aggregation_windows_ci95_high,n_file_aggregation_windows_min,n_file_aggregation_windows_max,n_subject_aggregation_windows_mean,n_subject_aggregation_windows_std,n_subject_aggregation_windows_ci95_low,n_subject_aggregation_windows_ci95_high,n_subject_aggregation_windows_min,n_subject_aggregation_windows_max,n_train_samples_per_epoch_mean,n_train_samples_per_epoch_std,n_train_samples_per_epoch_ci95_low,n_train_samples_per_epoch_ci95_high,n_train_samples_per_epoch_min,n_train_samples_per_epoch_max
1,2,inceptiontime,inception_time,0,15,0,5.0,2.5,50.0,0.9,fixed_reference,ref_20260625_top1_s1_122,20260625_s1_122_no_early_stop_fixed_reference,fixed_reference,20260625,s1_122,0.001,0.005,0.5,0.2,top50_quality,quality_weighted_mean,none,weighted_ce,inverse_subject_count,none,all,50.0,static_only,15,20260625,s1_122,5,0.6231481481481481,0.013733700902029024,0.6060982399666174,0.6401980563296789,0.611111111111111,0.6435185185185185,0.6146290038463952,0.00465325278315633,0.6088521536539939,0.6204058540387964,0.609090909090909,0.6207729468599034,0.6231481481481481,0.013733700902029024,0.6060982399666174,0.6401980563296789,0.611111111111111,0.6435185185185185,0.6146290038463952,0.00465325278315633,0.6088521536539939,0.6204058540387964,0.609090909090909,0.6207729468599034,0.4833333333333334,0.03726779962499649,0.4370666666666667,0.5296000000000001,0.4166666666666667,0.5,0.5209523809523808,0.03169440246151187,0.48160489146705043,0.5602998704377112,0.5,0.5714285714285714,15.0,0.0,15.0,15.0,15.0,15.0,433.6017176853493,0.4058059642060237,433.09792380789503,434.10551156280354,433.0272890108172,433.9768574000336,0.9951010069812813,0.0007399440907127486,0.9941823923342815,0.9960196216282812,0.9938943530070474,0.995764485378215,0.5341788606818141,0.026240653215714928,0.5016020096827342,0.566755711680894,0.5084339604731639,0.565183891094439,0.46092214629946715,0.026070790705412412,0.42855617365173637,0.49328811894719793,0.42982981498617223,0.4867731437768261,0.5388683504626356,0.0009096836434330454,0.5377390101118141,0.539997690813457,0.537669722010315,0.5399249650925965,1.142116381961785,0.01567561098889541,1.122655660488626,1.161577103434944,1.1272749113981666,1.166125443265024,0.6032480314991493,0.01648666524536713,0.5827804146012442,0.6237156483970544,0.5880835394379017,0.628455721254709,0.6416292190551758,0.0,0.6416292190551758,0.6416292190551758,0.6416292190551758,0.6416292190551758,7832.0,0.0,7832.0,7832.0,7832.0,7832.0,7831.0,0.0,7831.0,7831.0,7831.0,7831.0,31328.0,0.0,31328.0,31328.0,31328.0,31328.0
2,2,inceptiontime,inception_time,0,15,0,5.0,2.5,50.0,0.9,fixed_reference,ref_20260625_top2_s1_102,20260625_s1_102_no_early_stop_fixed_reference,fixed_reference,20260625,s1_102,0.001,0.005,0.5,0.2,top50_quality,mean_prob,none,weighted_ce,inverse_subject_count,none,all,50.0,static_only,15,20260625,s1_102,5,0.6175925925925926,0.03098740839015095,0.5791228114604279,0.6560623737247573,0.5925925925925926,0.6712962962962963,0.6080746539322391,0.03268282829379114,0.5675000684292486,0.6486492394352297,0.5747255840135098,0.6551226551226551,0.6175925925925926,0.03098740839015095,0.5791228114604279,0.6560623737247573,0.5925925925925926,0.6712962962962963,0.6080746539322391,0.03268282829379114,0.5675000684292486,0.6486492394352297,0.5747255840135098,0.6551226551226551,0.4833333333333333,0.03726779962499649,0.4370666666666666,0.5296,0.4166666666666667,0.5,0.5293557422969188,0.04436058672364137,0.4742836291125423,0.5844278554812954,0.47058823529411764,0.5714285714285714,15.0,0.0,15.0,15.0,15.0,15.0,433.0451941174921,0.4269864844262319,432.51510536675,433.5752828682342,432.4117984471377,433.52142900507897,0.9950455981550747,0.0006816603200447999,0.9941993407659947,0.9958918555441546,0.9938948449791478,0.9955259046673014,0.5306876940536543,0.024452374012749824,0.500330928989968,0.5610444591173407,0.5053324161890008,0.5581018831199543,0.4643579041014202,0.024414972488312706,0.4340475717190665,0.4946682364837739,0.43684724458708335,0.4901094560324625,0.5388928956217435,0.0009442781901915001,0.5377206073539679,0.5400651838895191,0.5376974775497017,0.5398219335547617,1.1459387949059607,0.016149966722568722,1.1258891774198327,1.1659884123920887,1.1302120906917352,1.1678010864443436,0.6070458992842174,0.01699083976114789,0.5859523674007704,0.6281394311676644,0.5907408894202557,0.6301036088946419,0.6416292190551758,0.0,0.6416292190551758,0.6416292190551758,0.6416292190551758,0.6416292190551758,7832.0,0.0,7832.0,7832.0,7832.0,7832.0,7831.0,0.0,7831.0,7831.0,7831.0,7831.0,31328.0,0.0,31328.0,31328.0,31328.0,31328.0
3,2,small_inceptiontime,small_inception_time,0,15,0,5.0,2.5,50.0,0.9,generalization,gen_212,generalization_small_inceptiontime_ep15_wd0.01_do0.5_ls0.3_sqitop50_quality_samplernone_wpsall_trainov30,generalization,generalization_grid,wd0.01_do0.5_ls0.3,0.001,0.01,0.5,0.3,top50_quality,mean_prob,none,weighted_ce,inverse_subject_count,none,all,30.0,static_only,0,,,5,0.5814814814814815,0.05570966280181975,0.5123198882320803,0.6506430747308827,0.5092592592592592,0.6574074074074074,0.5702389702847369,0.060103232999414447,0.49562291366872546,0.6448550269007484,0.4891774891774891,0.6429951690821256,0.5814814814814815,0.05570966280181975,0.5123198882320803,0.6506430747308827,0.5092592592592592,0.6574074074074074,0.5702389702847369,0.060103232999414447,0.49562291366872546,0.6448550269007484,0.4891774891774891,0.6429951690821256,0.4166666666666667,0.10206207261596575,0.2899601816971383,0.543373151636195,0.25,0.5,0.47859649122807013,0.11302696861289961,0.33827747229545413,0.6189155101606861,0.2857142857142857,0.5714285714285714,15.0,0.0,15.0,15.0,15.0,15.0,94.57035294836388,0.21274148362919337,94.30624185491895,94.8344640418088,94.38254518713802,94.88897914090194,0.9672835451914853,0.0013758754715291254,0.9655754440302516,0.968991646352719,0.9657237050802683,0.9686712528919064,0.5067990394732049,0.04508972751124559,0.45082172356388595,0.5627763553825239,0.42933014791684265,0.539704786240531,0.46048450571828037,0.04437976197865982,0.4053885871270616,0.5155804243094991,0.4262228288596749,0.5363935571634256,0.7335658257944522,0.0005521618271643954,0.7328803362442096,0.7342513153446948,0.7331518128500918,0.7345012471710994,1.1555966166853193,0.046881384622720845,1.0973950212856172,1.2137982120850215,1.1120840387768975,1.2302320326171277,0.42203079089086726,0.04635986733095685,0.36447664092507165,0.47958494085666287,0.3788523992105741,0.4957307854460282,0.6416292190551758,0.0,0.6416292190551758,0.6416292190551758,0.6416292190551758,0.6416292190551758,7832.0,0.0,7832.0,7832.0,7832.0,7832.0,7831.0,0.0,7831.0,7831.0,7831.0,7831.0,22632.0,0.0,22632.0,22632.0,22632.0,22632.0
4,2,inceptiontime,inception_time,0,15,0,5.0,2.5,50.0,0.9,generalization,gen_080,generalization_inceptiontime_ep15_wd0.005_do0.5_ls0.2_sqitop50_quality_samplerclass_subject_balanced_wps50pct_trainov30,generalization,generalization_grid,wd0.005_do0.5_ls0.2,0.001,0.005,0.5,0.2,top50_quality,mean_prob,none,weighted_ce,inverse_subject_count,class_subject_balanced,50%,30.0,static_only,0,,,5,0.5805555555555555,0.03712374110505456,0.5344677324908647,0.6266433786202463,0.5277777777777778,0.6157407407407408,0.5693044657341333,0.03642717809547873,0.5240814012251034,0.6145275302431632,0.5181818181818182,0.6207407407407407,0.5805555555555555,0.03712374110505456,0.5344677324908647,0.6266433786202463,0.5277777777777778,0.6157407407407408,0.5693044657341333,0.03642717809547873,0.5240814012251034,0.6145275302431632,0.5181818181818182,0.6207407407407407,0.425,0.0842541716005728,0.3204013998158014,0.5295986001841986,0.3333333333333333,0.5555555555555556,0.4761378490790256,0.057381565257936154,0.4049006475454038,0.5473750506126475,0.4,0.5555555555555556,15.0,0.0,15.0,15.0,15.0,15.0,216.17194794584066,0.25695787768875433,215.85294374934858,216.49095214233273,215.89903692994267,216.51638980396092,0.9808605706874847,0.0027492719081301455,0.9774474459999684,0.984273695375001,0.9786546200219295,0.9852270870479956,0.48940632110775495,0.0446133759300323,0.43402037898615353,0.5447922632293564,0.42795878900774487,0.548913211317186,0.49145424957972966,0.047074610221543654,0.4330127713733644,0.5498957277860949,0.4299183348711636,0.5572682980402507,0.5452061948165441,0.004516592175646946,0.5395990039771962,0.550813385655892,0.538127899352593,0.5489530058638581,1.2160550411856117,0.04970457096135224,1.154348558924284,1.2777615234469395,1.1448764118446293,1.2728102957153193,0.6708488463690677,0.05238692451867659,0.6058123162066658,0.7358853765314697,0.5984319586205188,0.7291779342664026,0.6416292190551758,0.0,0.6416292190551758,0.6416292190551758,0.6416292190551758,0.6416292190551758,7832.0,0.0,7832.0,7832.0,7832.0,7832.0,7831.0,0.0,7831.0,7831.0,7831.0,7831.0,14111.8,1.0954451150103324,14110.440043294806,14113.159956705193,14111.0,14113.0
5,2,inceptiontime,inception_time,0,10,0,5.0,2.5,50.0,0.9,generalization,gen_030,generalization_inceptiontime_ep10_wd0.01_do0.5_ls0.3_sqinone_samplernone_wpsall_trainov30,generalization,generalization_grid,wd0.01_do0.5_ls0.3,0.001,0.01,0.5,0.3,none,mean_prob,none,weighted_ce,inverse_subject_count,none,all,30.0,static_only,0,,,5,0.576851851851852,0.05741487406639814,0.5055732986002944,0.6481304051034095,0.5092592592592592,0.6481481481481481,0.5603147832559597,0.07356412762230866,0.46898749788967753,0.6516420686222419,0.468954248366013,0.6474358974358975,0.576851851851852,0.05741487406639814,0.5055732986002944,0.6481304051034095,0.5092592592592592,0.6481481481481481,0.5603147832559597,0.07356412762230866,0.46898749788967753,0.6516420686222419,0.468954248366013,0.6474358974358975,0.3888888888888889,0.09820927516479827,0.2669655168801747,0.5108122608976031,0.25,0.5,0.4601120448179271,0.08564459553174125,0.3537872820699055,0.5664368075659487,0.35294117647058826,0.5714285714285714,10.0,0.0,10.0,10.0,10.0,10.0,371.34983937921936,0.09106193670053592,371.2367891773363,371.46288958110244,371.19497059891,371.42601345013827,0.9885865554907814,0.000486091448488609,0.9879830899993105,0.9891900209822524,0.9880338006716063,0.9892954254573203,0.5132588978271186,0.027919443154664284,0.47859788797534847,0.5479199076788889,0.48269794253434456,0.543827796209995,0.475327657663663,0.027690290457996588,0.44095113285096604,0.5097041824763598,0.4454676292473253,0.5053358581372618,0.6966106917749195,0.0005858103153414832,0.6958834288062837,0.6973379547435553,0.6957731548948334,0.6974034775327229,1.1528029585453403,0.04084488550727257,1.1020954651644959,1.2035104519261848,1.1115816471712403,1.196281087290925,0.45619226677042085,0.040563039811491675,0.4058346749396906,0.5065498586011511,0.41511377640783687,0.49962523107465584,0.6416292190551758,0.0,0.6416292190551758,0.6416292190551758,0.6416292190551758,0.6416292190551758,15657.0,0.0,15657.0,15657.0,15657.0,15657.0,15657.0,0.0,15657.0,15657.0,15657.0,15657.0,45180.0,0.0,45180.0,45180.0,45180.0,45180.0
6,2,inceptiontime,inception_time,0,15,0,5.0,2.5,50.0,0.9,generalization,gen_066,generalization_inceptiontime_ep15_wd0.005_do0.5_ls0.2_sqinone_samplerclass_subject_balanced_wps50pct_trainov30,generalization,generalization_grid,wd0.005_do0.5_ls0.2,0.001,0.005,0.5,0.2,none,mean_prob,none,weighted_ce,inverse_subject_count,class_subject_balanced,50%,30.0,static_only,0,,,5,0.5768518518518518,0.08890817691968746,0.4664754672282428,0.6872282364754608,0.4537037037037037,0.6898148148148149,0.5606342332878879,0.1142831787132696,0.41875567355699694,0.7025127930187788,0.38425925925925924,0.68743961352657,0.5768518518518518,0.08890817691968746,0.4664754672282428,0.6872282364754608,0.4537037037037037,0.6898148148148149,0.5606342332878879,0.1142831787132696,0.41875567355699694,0.7025127930187788,0.38425925925925924,0.68743961352657,0.4527777777777778,0.21282201454864397,0.18856670801968445,0.7169888475358711,0.08333333333333333,0.625,0.477,0.2064393911592994,0.2207127334120731,0.7332872665879269,0.125,0.6666666666666666,15.0,0.0,15.0,15.0,15.0,15.0,367.0191007771529,0.35973146356006697,366.5725067769297,367.46569477737614,366.48995621991344,367.3476677448489,0.9882750780811411,0.00044052131365025294,0.9877281863144336,0.9888219698478486,0.9878353545517855,0.988821768205816,0.518242364484755,0.04338115156761475,0.464386185708674,0.572098543260836,0.4708279768621157,0.5708511504177528,0.47003271359638593,0.043313974526675236,0.4162599327614787,0.5238054944312932,0.4179706177880632,0.5171641697271405,0.5302322295812291,0.0007325584687670159,0.5293227839249431,0.531141675237515,0.5293895635996513,0.5309697218091355,1.1513800791614015,0.026101664465944606,1.11897577782237,1.183784380500433,1.1085387473394124,1.1742616765778788,0.6211478495801728,0.02648098248682903,0.5882726382166827,0.6540230609436628,0.5775690255302769,0.6448721129782276,0.6416292190551758,0.0,0.6416292190551758,0.6416292190551758,0.6416292190551758,0.6416292190551758,15657.0,0.0,15657.0,15657.0,15657.0,15657.0,15657.0,0.0,15657.0,15657.0,15657.0,15657.0,28078.4,4.9295030175464944,28072.28019482663,28084.51980517337,28070.0,28082.0
7,2,inceptiontime,inception_time,0,15,0,5.0,2.5,50.0,0.9,generalization,gen_074,generalization_inceptiontime_ep15_wd0.005_do0.5_ls0.2_sqitop50_quality_samplersubject_balanced_wps50pct_trainov30,generalization,generalization_grid,wd0.005_do0.5_ls0.2,0.001,0.005,0.5,0.2,top50_quality,mean_prob,none,weighted_ce,inverse_subject_count,subject_balanced,50%,30.0,static_only,0,,,5,0.5759259259259258,0.1059568395708925,0.44438422432807034,0.7074676275237813,0.46759259259259256,0.7129629629629629,0.5584704512320611,0.11145232281477606,0.4201062998524783,0.6968346026116439,0.4343434343434343,0.7084795321637426,0.5759259259259258,0.1059568395708925,0.44438422432807034,0.7074676275237813,0.46759259259259256,0.7129629629629629,0.5584704512320611,0.11145232281477606,0.4201062998524783,0.6968346026116439,0.4343434343434343,0.7084795321637426,0.35,0.14006446928309677,0.17611487189015335,0.5238851281098467,0.125,0.5,0.400061919504644,0.15069474766131385,0.21297967347402366,0.5871441655352643,0.16666666666666666,0.5333333333333333,15.0,0.0,15.0,15.0,15.0,15.0,186.30615471778438,0.06600637528494073,186.22421011697853,186.38809931859024,186.22655458701774,186.37088926089928,0.982216281716126,0.0015304272721697583,0.9803163099128118,0.9841162535194401,0.9803762862360834,0.9838527066660486,0.5024528057443485,0.05461865832450994,0.43464565630411917,0.5702599551845778,0.42822330328375574,0.5724924468265873,0.47976347597177754,0.05436060110344746,0.412276695524297,0.5472502564192581,0.40866513176060026,0.5521529829523277,0.5674792416721717,0.0014221550903028212,0.5657136859867427,0.5692447973576007,0.565367446002009,0.5689234555448286,1.2403972057899817,0.06541005655929745,1.1591929137757302,1.3216014978042332,1.1625577630617692,1.3009368999821365,0.6729179641178099,0.06559056254977381,0.591489580244722,0.7543463479908978,0.5956556808131148,0.7320134444373079,0.6416292190551758,0.0,0.6416292190551758,0.6416292190551758,0.6416292190551758,0.6416292190551758,7832.0,0.0,7832.0,7832.0,7832.0,7832.0,7831.0,0.0,7831.0,7831.0,7831.0,7831.0,11364.0,0.0,11364.0,11364.0,11364.0,11364.0
8,2,small_inceptiontime,small_inception_time,0,10,0,5.0,2.5,50.0,0.9,generalization,gen_136,generalization_small_inceptiontime_ep10_wd0.005_do0.5_ls0.2_sqitop50_quality_samplerclass_subject_balanced_wps50pct_trainov30,generalization,generalization_grid,wd0.005_do0.5_ls0.2,0.001,0.005,0.5,0.2,top50_quality,mean_prob,none,weighted_ce,inverse_subject_count,class_subject_balanced,50%,30.0,static_only,0,,,5,0.5666666666666667,0.0810912372067086,0.4659947386434748,0.6673385946898586,0.4953703703703704,0.6898148148148149,0.5559574136347591,0.08748536335512379,0.44734740216928864,0.6645674251002297,0.4695652173913043,0.6858314263920672,0.5666666666666667,0.0810912372067086,0.4659947386434748,0.6673385946898586,0.4953703703703704,0.6898148148148149,0.5559574136347591,0.08748536335512379,0.44734740216928864,0.6645674251002297,0.4695652173913043,0.6858314263920672,0.39166666666666666,0.14006446928309677,0.21778153855682003,0.5655517947765133,0.25,0.625,0.4363553113553114,0.12883860372400288,0.2764067017706703,0.5963039209399525,0.26666666666666666,0.625,10.0,0.0,10.0,10.0,10.0,10.0,46.72841821503825,0.06936539699322399,46.64230350654513,46.814532923531374,46.656574869994074,46.83728003804572,0.9271686898488858,0.004482283960739976,0.9216040914555369,0.9327332882422347,0.9202053487859663,0.9317533607713091,0.49509081938010413,0.037950187723807656,0.44797699181253414,0.5422046469476741,0.4337995805136581,0.5260525199980732,0.43207787046878143,0.03816438565023637,0.3846981236850922,0.47945761725247066,0.403648095547823,0.49478140069940013,0.6157745238088431,0.006596996220376484,0.6075845842846245,0.6239644633330618,0.6087401660412697,0.6243144070293468,1.2438452900900383,0.08433919436201473,1.1391411371283133,1.3485494430517633,1.1332516824826335,1.3282383945719407,0.6280707662811952,0.07999947337789033,0.5287542247754509,0.7273873077869395,0.5234299286350428,0.7120214250631556,0.6416292190551758,0.0,0.6416292190551758,0.6416292190551758,0.6416292190551758,0.6416292190551758,7832.0,0.0,7832.0,7832.0,7832.0,7832.0,7831.0,0.0,7831.0,7831.0,7831.0,7831.0,14111.8,1.0954451150103324,14110.440043294806,14113.159956705193,14111.0,14113.0
9,2,inceptiontime,inception_time,0,10,0,5.0,2.5,50.0,0.9,generalization,gen_044,generalization_inceptiontime_ep10_wd0.01_do0.5_ls0.3_sqitop50_quality_samplernone_wpsall_trainov30,generalization,generalization_grid,wd0.01_do0.5_ls0.3,0.001,0.01,0.5,0.3,top50_quality,mean_prob,none,weighted_ce,inverse_subject_count,none,all,30.0,static_only,0,,,5,0.5666666666666667,0.07737162472610487,0.4706125071326516,0.6627208262006816,0.4861111111111111,0.6759259259259259,0.5549254899241439,0.07054952245277325,0.4673407311871225,0.6425102486611654,0.4765151515151515,0.6579416455577447,0.5666666666666667,0.07737162472610487,0.4706125071326516,0.6627208262006816,0.4861111111111111,0.6759259259259259,0.5549254899241439,0.07054952245277325,0.4673407311871225,0.6425102486611654,0.4765151515151515,0.6579416455577447,0.43611111111111106,0.04564354645876384,0.3794462483947269,0.4927759738274952,0.375,0.5,0.48958548331613344,0.0962285054357763,0.3701211674824078,0.609049799149859,0.375,0.631578947368421,10.0,0.0,10.0,10.0,10.0,10.0,208.95812881859018,0.2858091884253881,208.60330673131358,209.31295090586678,208.70730461296625,209.44054052396677,0.98305135687629,0.0012525470842353404,0.9814963635841248,0.9846063501684551,0.9817956216398045,0.9847376246119154,0.5042209498935263,0.050451562028806594,0.4415871044106332,0.5668547953764194,0.4347953512395448,0.5772535602810287,0.4788304069827635,0.05016110074919137,0.4165571589952621,0.541103654970265,0.4074840643308867,0.5491497919423787,0.7079233480294986,0.002231588604775654,0.7051529090136938,0.7106937870453035,0.7052970590848,0.7105607466769988,1.161391782651934,0.03974544356981942,1.1120492078912214,1.2107343574126466,1.092571536276481,1.1928020401943225,0.45346843462243525,0.03819331605535845,0.4060527717550549,0.5008840974898155,0.38727447719168095,0.4822412935173237,0.6416292190551758,0.0,0.6416292190551758,0.6416292190551758,0.6416292190551758,0.6416292190551758,7832.0,0.0,7832.0,7832.0,7832.0,7832.0,7831.0,0.0,7831.0,7831.0,7831.0,7831.0,22632.0,0.0,22632.0,22632.0,22632.0,22632.0
10,2,inceptiontime,inception_time,0,15,0,5.0,2.5,50.0,0.9,generalization,gen_093,generalization_inceptiontime_ep15_wd0.01_do0.5_ls0.3_sqinone_samplerclass_subject_balanced_wps50pct_trainov00,generalization,generalization_grid,wd0.01_do0.5_ls0.3,0.001,0.01,0.5,0.3,none,mean_prob,none,weighted_ce,inverse_subject_count,class_subject_balanced,50%,0.0,static_only,0,,,5,0.5666666666666667,0.0754785827960843,0.47296265232081935,0.660370681012514,0.46759259259259256,0.6620370370370371,0.5354932762455982,0.10450803877187433,0.40575021004637285,0.6652363424448235,0.3621052631578947,0.6178266178266177,0.5666666666666667,0.0754785827960843,0.47296265232081935,0.660370681012514,0.46759259259259256,0.6620370370370371,0.5354932762455982,0.10450803877187433,0.40575021004637285,0.6652363424448235,0.3621052631578947,0.6178266178266177,0.325,0.19184774055368897,0.08682775607183407,0.5631722439281659,0.0,0.5,0.38364145658263304,0.22295595585923503,0.10684945397219603,0.6604334591930701,0.0,0.5714285714285714,15.0,0.0,15.0,15.0,15.0,15.0,276.6156888670754,0.11182254189644003,276.4768651016854,276.7545126324654,276.4411999050062,276.7082757272292,0.9801883671544195,0.001792783164814245,0.9779626897082941,0.9824140446005448,0.9777076699894571,0.9827302323071756,0.5259044401390894,0.06312304690608989,0.44753939042927043,0.6042694898489085,0.46421821196208474,0.6300995957519497,0.45428392701533005,0.06283404652028797,0.37627766115245076,0.5322901928782093,0.3504659676953158,0.5157123054912562,0.683386456730204,0.003628049922100503,0.678882359947327,0.687890553513081,0.6788361274401028,0.6888792788423027,1.1644169540990377,0.06773397501765095,1.0803275987927468,1.2485063094053286,1.0620779583483837,1.2254088962391865,0.4810304973688336,0.06735316494697237,0.39741390441451097,0.5646470903231562,0.37975009851697294,0.5465727687990837,0.6416292190551758,0.0,0.6416292190551758,0.6416292190551758,0.6416292190551758,0.6416292190551758,15657.0,0.0,15657.0,15657.0,15657.0,15657.0,15657.0,0.0,15657.0,15657.0,15657.0,15657.0,19735.0,5.196152422706632,19728.549158938557,19741.450841061443,19728.0,19740.0
